id,colour,size,width,brand,model,price,type,count,rating,no_rating,link
146012,Transparent,Medium,134 mm,Lenskart Air,LA E13517,1700,eyeframe,85353,4.7,148,https://www.lenskart.com/lenskart-air-la-e13517-c2-eyeglasses.html
217261,Crystal,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,eyeframe,7745,0.0,0,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c5-eyeglasses.html
216712,Flamingo,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,4484,4.0,1,https://www.lenskart.com/lenskart-la-e15417-w-c7-eyeglasses.html
201315,Silver Black,Medium,134 mm,Vincent Chase,VC E13634,1700,eyeframe,12140,4.75,136,https://www.lenskart.com/vincent-chase-vc-e13634-c7-eyeglasses.html
147507,Transparent,Medium,136 mm,Vincent Chase,VC E13037,1700,eyeframe,65705,4.5,487,https://www.lenskart.com/vincent-chase-vc-e13037-full-rim-rect-way-acetate-crystal-blue-transparent-c6-eyeglasses.html
208951,Navy,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,29360,4.6,315,https://www.lenskart.com/lenskart-hustlr-la-e15417-c15-eyeglasses.html
217202,Olive,Medium,139 mm,Lenskart Hustlr,LH E16985-W,1700,eyeframe,4669,5.0,2,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c2-eyeglasses.html
217431,Electric Green,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,3012,5.0,1,https://www.lenskart.com/lenskart-air-la-e15417-wc4-eyeglasses.html
209750,Brown,Wide,138 mm,Lenskart Air,LA E15844,1700,eyeframe,10957,4.65,3,https://www.lenskart.com/lenskart-air-la-e15844-c4-eyeglasses.html
137975,Blue,Medium,135 mm,Lenskart Air,LA E13069,1700,eyeframe,86751,4.6,602,https://www.lenskart.com/lenskart-air-la-e13033-c2-eyeglasses.html
145567,Black,Medium,135 mm,Vincent Chase,VC E13634,1700,eyeframe,42734,4.75,136,https://www.lenskart.com/vincent-chase-vc-e13634-full-rim-rectangle-metal-steel-escobar-c1-eyeglasses.html
207481,Blue Sky,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,198036,4.6,315,https://www.lenskart.com/lenskart-hustlr-la-e15417-c7-eyeglasses.html
145996,Transparent,Wide,138 mm,Lenskart Air,LA E11821,1700,eyeframe,130094,4.7,529,https://www.lenskart.com/lenskart-air-la-e11821-full-rim-wayfarer-stainless-steel-c1-eyeglasses.html
208956,Greystone,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,58231,4.6,315,https://www.lenskart.com/lenskart-hustlr-la-e15417-c20-eyeglasses.html
217022,Grey,Medium,137 mm,Lenskart STUDIO,LS E15666,1700,eyeframe,4414,0.0,0,https://www.lenskart.com/vincent-chase-ls-e15666-c6-eyeglasses.html
206266,Blue,Medium,137 mm,Vincent Chase,VC E15347,1700,eyeframe,7261,5.0,1,https://www.lenskart.com/vincent-chase-vc-e15347-c1-eyeglasses.html
209728,Gunmetal,Medium,134 mm,Vincent Chase,VC E15838,1700,eyeframe,1228,0.0,0,https://www.lenskart.com/vincent-chase-vc-e15838-c1-eyeglasses.html
211448,Purple,Medium,136 mm,Lenskart Air,LA E16169,1700,eyeframe,2418,0.0,0,https://www.lenskart.com/lenskart-air-la-e16169-c1-eyeglasses.html
211920,Blue,Medium,134 mm,Vincent Chase,VC E16233,1700,eyeframe,1943,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16233-c1-eyeglasses.html
207671,Dark Night,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,60925,4.6,315,https://www.lenskart.com/lenskart-hustlr-la-e15417-c10-eyeglasses.html
210157,Green,Medium,132 mm,Lenskart Air,LA E14961,1700,eyeframe,2947,0.0,0,https://www.lenskart.com/lenskart-air-la-e14961-c4-eyeglasses.html
211524,Blue,Medium,136 mm,Vincent Chase,VC E16198,1700,eyeframe,1409,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16198-c1-eyeglasses.html
206828,Monza Red,Medium,139 mm,Lenskart Hustlr,LA E15417-W,1700,eyeframe,15380,4.6,315,https://www.lenskart.com/lenskart-hustlr-la-e15417-c6-eyeglasses.html
206641,Transparent,Medium,135 mm,Vincent Chase,VC E15380,1700,eyeframe,5144,0.0,0,https://www.lenskart.com/vincent-chase-vc-e15380-c2-eyeglasses.html
206269,Blue,Medium,137 mm,Vincent Chase,VC E15348,1700,eyeframe,8225,5.0,1,https://www.lenskart.com/vincent-chase-vc-e15348-c2-eyeglasses.html
206036,Transparent Blue,Medium,134 mm,Lenskart Air,LA E15303,1700,eyeframe,6270,5.0,3,https://www.lenskart.com/lenskart-air-la-e15303-c2-eyeglasses.html
201332,Grey,Medium,134 mm,Lenskart Air,LA E13068,1700,eyeframe,13847,4.65,169,https://www.lenskart.com/lenskart-air-la-e13068-c5-eyeglasses.html
150599,Grey,Medium,135 mm,Lenskart Air,LA E14368,1700,eyeframe,32009,4.7,65,https://www.lenskart.com/lenskart-air-la-e14368-c1-eyeglasses.html
146615,Purple,Medium,135 mm,Vincent Chase,VC E13784,1700,eyeframe,68500,4.6,259,https://www.lenskart.com/vincent-chase-vc-e13784-c1-eyeglasses.html
146617,Gold,Medium,134 mm,Vincent Chase,VC E13785,1700,eyeframe,59326,4.75,177,https://www.lenskart.com/vincent-chase-vc-e13785-c1-eyeglasses.html
