location,address,phone_number,ratings,ratings_count
Chhatarpur,"Property Bearing No 14, Ground Floor, khasra No 619/10 & Old No 619/21, Situated in Extended Abadi of Lal Dora of Village Chhatarpur, Tehsil Hauz Khas, Mehrauli, New Delhi, 110074",8744082080,4.8,448
Jawahar Nagar,"Shop No 2, UA/29 Bungalow Road, Opposite Hansraj Girls Hostel, Jawahar Nagar, Delhi, 110007",8929811423,4.8,1491
Paschim Vihar,"Shop No A3/182, Ground Floor, Paschim Vihar, New Delhi, 110063",7428891110,4.8,856
Model Town,"Shop No 2, H4/6, Ground Floor, Model Town, New Delhi, 110009",7428891111,4.9,797
Old Rajendar Nagar,"Shop No 6/80, Ground Floor, Shankar Road, Old Rajendar Nagar, New Delhi, 110060",7428891112,4.8,948
Geeta Colony,"Shop No 11/13, Ground Floor, Geeta Colony, Delhi, 110031",9643075085,4.8,417
Vasundhra Enclave,"Vardhman Sunrise Plaza, Vasundhara Enclave, New Delhi, 110096",8929302372,4.9,493
"Sector 6, Dwarka","Shop No OG1 & OG2, Odion Plaza, Plot No 2, Sector 6 Central Market, Dwarka, New Delhi, 110075",7428891124,4.9,807
Vikaspuri,"Shop No 407, Soniapur, Block Kg 1, Near Pvr Vikaspuri, Vikaspuri, New Delhi, 110018",7428891125,4.9,1054
East Patel Nagar,"Shop No 18/30, Ground Floor, East Patel Nagar, New Delhi, 110008",7428891126,4.7,725
Naraina Vihar,"Shop No E- 36 A, Block E, Naraina Vihar, New Delhi, 110028",7428891127,4.9,2144
Sector 7 Rohini,"Property No 1, Pocket No C 9, Sector 7, Rohini, Near Rohini East Metro Station, New Delhi, 110031",8447731771,4.9,1185
Dwarka Mor,"Shop No C-1/4&5, Ground Floor, Rama Park, Nawada, Uttam Nagar, Near Dwarka Mor Metro Station, New Delhi, 110059",8447892802,4.9,421
Amar Colony,"C 8 Amar Colony Market, Amar Colony, New Delhi, 110024",7303157158,4.8,730
Sector 17 Rohini,"A 25 & 26, Ground Floor, Pocket 1, Sector 17, Rohini, Delhi, 110089",7065045112,4.9,1335
SDA Market,"Shop No C 15/A, SDA Market, Near Chaayos, Delhi, 110016",9319372677,4.9,1242
"Sector 9, Rohini","Shop No G9 & G10, Vikas Surya Tower, Sector 9, DC Chowk, Rohini, New Delhi, 110085",7428891149,4.9,920
Kalkaji,"Shop No H10 A, Ground Floor, Kalkaji Main Market, New Delhi, 110019",7428891153,4.8,1040
"Sector 8, RK Puram","Shop No 14, Main Market, Sector 8, Near HDFC Bank, RK Puram, New Delhi, 110022",7428891154,4.8,1040
